Doctor Id,Name,Contact No,Email,Position,Started At,Specialty
50810945,Dr. Amanda Cox,383-793-9162,acox@hospital.org,Fel%~?low,2025-02-23,Pulmonary Fellow
65152736,Dr. Samantha Fitzgerald,206-513-3525,sfitzgerald@hospital.org,Attending Physician,2013-02-23,Internal Medicine
68702998,Dr. Justin Moore,260-891-7823,jmoore@hospital.org,Attending Physician,2014-12-20,Internal Medicine
22059629,Dr. Karl Crawford,560-473-4606,kcrawford@hospital.org,Chief of Surgery,2001-05-04,General Surgery
22799743,Dr. Claudia Brown,357-863-1717,cbrown@hospital.org,Fellow,2018-03-21,Cardiology Fellow
63008343,Dr. Erica Weber,412-764-9844,eweber@hospital.org,Chief of Surgery,1992-12-23,General Surgery
66502206,Dr. Michael Pearson,203-770-9080,mpearson@hospital.org,><~Attending Physician,2011-05-27,Internal Medicine
69625321,Dr. George Alexander,999-573-2119,galexander@hospital.org,Medical Director,1990-02-13,Internal Medicine
17422238,Dr. Jeffrey Murray,924-770-8338,jmurray@hospital.org,Fellow,2023-01-07,Cardiology Fellow
53583716,Dr. Steven Galvan,808-501-9498,,,2008-06-07,Internal Medicine
28542217,Dr. Amy Lewis,568-302-7143,alewis@hospital.org,Attending Physician,2013-10-27,Internal Medicine
32289679,Dr. Michael Hill,743-878-4235,mhill@hospital.org,Medical Director,1997-05-25,Internal Medicine
18827162,Dr. Jessica Martin,314-948-8528,jmartin@hospital.org,Attending Physician,2008-10-28,Internal Medicine
15189514,Dr. Lauren Webb,848-258-9016,,Fellow,"Jun 30, 2017",Pulmonary Fellow
83561209,Dr. Julie Rodriguez,233-625-2822,,Attending Physician,2007-08-20,Internal Medicine
99881994,Dr. Larry Howe,542-767-6738,lhowe@hospital.org,Fellow,2024-06-15,Cardiology Fellow
97759202,Dr. Diana Green,,dgreen@hospital.org,,2018-07-18,Internal Medicine Resident
26530018,Dr. Kristin Chavez,883-815-1449,kchavez@hospital.org,Attending Physician,2013-05-04,Internal Medicine
91867606,Dr. Amanda Jackson,436-653-8953,,Medical Director,1988-01-29,Internal Medicine
19727103,Dr. Natalie Jones,767-443-8509,njones@hospital.org,Resident,2019-12-10,Surgery Resident
93835955,Dr. Michelle Valenzuela,672-315-5128,mvalenzuela@hospital.org,Chief of Sur&/gery,1992-02-01,General Surgery
17336923,Dr. Samuel Myers,343-455-8568,smyers@hospital.org,Attending Physician,2007-11-09,Internal Medicine
28805050,Dr. Brenda Johnson,750-704-7408,bjohnson@hospital.org,Medical Director,1994-10-19,Internal Medicine
86205207,Dr. Shawn Wiggins,939-791-7792,swiggins@hospital.org,Chief of Surgery,1997-04-09,General Surgery
75517669,Dr. Traci Scott,666-383-9865,tscott@hospital.org,Attending Physician,2009-05-29,Internal Medicine
75078107,Dr. Victor Pope,861-446-6994,vpope@hospital.org,Chief of(! Surgery,2000-06-22,General Surgery
27053514,Dr. Jennifer Thompson,786-841-4159,jthompson@hospital.org,Medical Director,2001-06-13,Internal Medicine
48134261,Dr. William Norris,811-499-4904,wnorris@hospital.org,Medi?cal Director,"Nov 04, 2004",Internal Medicine
76103892,Dr. Madison Davis,434-210-3192,mdavis@hospital.org,Medical Director=,1993-07-08,Internal Medicine
60194645,Dr. Michael Crawford,,mcrawford@hospital.org,,2012-03-28,Internal Medicine
24418111,Dr. Levi Hernandez,320-970-4702,lhernandez@hospital.org,Attending Physician,2012-01-01,Internal Medicine
90647027,Dr. Robert Smith,496-807-1260,rsmith@hospital.org,,1990-02-15,Internal Medicine
37444214,Dr. Steven Alexander,692-640-7250,salexander@hospital.org,Medical Director,2000-06-27,Internal Medicine
71140731,Dr. Victor Bowers,207-472-6708,vbowers@hospital.org,Medical +Director,1992-07-01,Internal Medicine
83234204,Dr. Thomas Ruiz,592-584-5162,truiz@hospital.org,Medical Director,1999-12-05,Internal Medicine
91543222,Dr. Richard Padilla,247-225-6720,rpadilla@hospital.org,Resident,2021-09-12,Surgery Resident
84584022,Dr. Keith Gould,258-552-5681,,Attending Physician,25-01-2011,Internal Medicine
82288278,Dr. Cassie Peterson,498-917-3992,cpeterson@hospital.org,Chief of Surgery,1993-08-25,General Surgery
46719945,Dr. Rebecca Hoffman,440-531-7051,rhoffman@hospital.org,Medical Director,1999.02.09,Internal Medicine
1880768,Dr. Jonathan Quinn,255-502-1394,jquinn@hospital.org,Attending Physician,2008-08-12,Internal Medicine
29657430,Dr. Sarah Thomas,427-331-1024,,Attending Physician,2010-03-26,Internal Medicine
16295215,Dr. Emily Williams,467-664-2447,ewilliams@hospital.org,Attending Physician,2009-04-05,Internal Medicine
75240961,Dr. Michael Johnson,204-527-9308,mjohnson@hospital.org,Attending Physician,2009-12-31,Internal Medicine
66843439,Dr. Natasha Nelson,415-840-9807,nnelson@hospital.org,Resident,2020-12-08,Surgery Resident
42929433,Dr. Andre Morrow,488-327-6841,amorrow@hospital.org,Chief of Surgery,2002-06-29,General Surgery
57662882,Dr. Tim Hoffman,631-452-5671,thoffman@hospital.org,Medical Director,1994-12-04,Internal Medicine
52735696,Dr. Elizabeth Williams,744-709-3623,ewilliams@hospital.org,Chief of Surgery,1991-08-26,General Surgery
53360438,Dr. Stanley Wong,872-561-9034,swong@hospital.org,A!:>ttending Physician,2005-05-30,Internal Medicine
68370485,Dr. Jennifer Myers,984-854-7672,jmyers@hospital.org,Attending Physician,2010-08-28,Internal Medicine
68737547,Dr. Michael Preston,246-407-6152,mpreston@hospital.org,Chief of Surgery,1986-04-04,General Surgery
15205440,Dr. Nicole Graves,865-912-3733,ngraves@hospital.org,Resident,2018-07-30,Pediatrics Resident
28621824,Dr. Jerry Harris,480-846-4700,jharris@hospital.org,Medical Director,1985-06-01,Internal Medicine
29035068,Dr. Linda Carson,639-219-6978,lcarson@hospital.org,Attending Physician,2009-09-15,Internal Medicine
10057460,Dr. Jacob Figueroa,612-985-1539,jfigueroa@hospital.org,Resident,2017-09-23,Internal Medicine Resident
26924881,Dr. Jessica Sharp,354-528-3108,jsharp@hospital.org,Fellow,2025-04-19,Cardiology Fellow
84760979,Dr. Tina Gomez,749-349-6720,,Chief of Su&?rgery,2004-08-13,General Surgery
74650979,Dr. Amy Robinson,,arobinson@hospital.org,Attending >Physician,2008-04-02,Internal Medicine
27450641,Dr. Ann Moss,809-904-1233,amoss@hospital.org,,2017-08-11,Surgery Resident
72863173,Dr. Robert Marshall,895-817-8904,rmarshall@hospital.org,,1998-02-13,Internal Medicine
64825048,Dr. Thomas Adams,301-529-6642,tadams@hospital.org,Resident,2024-06-13,Pediatrics Resident
88907140,Dr. Angela Brandt,799-691-8188,abrandt@hospital.org,Resident,2025-05-08,Surgery Resident
20026052,Dr. Greg Robinson,,grobinson@hospital.org,,2004-05-20,General Surgery
26887321,Dr. Priscilla Stewart,,pstewart@hospital.org,Attending Physician,2009-07-23,Internal Medicine
62516399,Dr. Carrie Lopez,,,Fellow,2023-01-31,Cardiology Fellow
16146847,Dr. Stephen Larson,730-460-4194,slarson@hospital.org,Attending Physician,2015-05-17,Internal Medicine
88514139,Dr. Shari Mccarthy,710-939-2962,smccarthy@hospital.org,Chief of Surgery,1998-05-12,General Surgery
36116762,Dr. Kristin Greene,,kgreene@hospital.org,,2003-09-10,General Surgery
38928918,Dr. Scott Young,,syoung@hospital.org,Fellow,2015-09-15,Oncology Fellow
70463415,Dr. Amanda Garza,242-498-5668,agarza@hospital.org,Chief of Surgery,1995-06-07,General Surgery
52924655,Dr. Thomas Vincent,898-366-2233,tvincent@hospital.org,Resident,2024-10-31,Surgery Resident
30650840,Dr. James White,767-391-3964,jwhite@hospital.org,Chief of Surgery,1995-10-22,General Surgery
23440658,Dr. John Lewis,374-472-5906,jlewis@hospital.org,!@Resident,2020-08-21,Pediatrics Resident
78142426,Dr. Brandy Good,481-968-8423,bgood@hospital.org,Attending Physician,2005-12-19,Internal Medicine
19028416,Dr. Richard White,810-553-6013,rwhite@hospital.org,Chief of Surgery,1989-11-28,General Surgery
89987234,Dr. April Summers,836-520-3058,asummers@hospital.org,Attendin&]g Physician,03/11/2008,Internal Medicine
64101213,Dr. Jesse Howard,200-423-4001,jhoward@hospital.org,Residen?(t,2023-07-20,Pediatrics Resident
86499480,Dr. Michael Warner,,mwarner@hospital.org,Chief of Surgery,2003-03-30,General Surgery
7698465,Dr. April Brown,972-401-9103,abrown@hospital.org,Resident,2017-01-14,Internal Medicine Resident
70756506,Dr. Dave Bartlett,606-597-3419,dbartlett@hospital.org,,05/07/2023,Pulmonary Fellow
8208291,Dr. Travis Proctor,852-929-3709,tproctor@hospital.org,Medical Director,1998-01-25,Internal Medicine
92836341,Dr. Alec Perez,821-644-8540,aperez@hospital.org,Chief of Surgery,31-12-1992,General Surgery
60958242,Dr. Jeffery Rodgers,,jrodgers@hospital.org,Medical Director,1997-10-09,Internal Medicine
88572874,Dr. Richard Fernandez,,rfernandez@hospital.org,Attend|ing Physician,2007-11-29,Internal Medicine
97095570,Dr. Keith Smith,,ksmith@hospital.org,Attending Physician,2012-05-12,Internal Medicine
22196373,Dr. Sean Cross,260-852-2468,,Attending Physician,2014-11-12,Internal Medicine
48826885,Dr. Richard Reid,,rreid@hospital.org,Medical Director,1990-08-28,Internal Medicine
8849697,Dr. Brian Salazar,870-488-7351,bsalazar@hospital.org,,"Sep 30, 2007",Internal Medicine
89754959,Dr. Donna Simpson,662-687-2551,dsimpson@hospital.org,Fellow,2023-03-07,Oncology Fellow
84548891,Dr. Sara Erickson,921-915-8514,serickson@hospital.org,Resident,2023-11-02,Pediatrics Resident
81373071,Dr. Sarah Cohen,738-753-8814,scohen@hospital.org,Attending Physician,"Aug 29, 2011",Internal Medicine
9254183,Dr. Cynthia Copeland,787-310-4280,ccopeland@hospital.org,Medical Director,04-06-1990,Internal Medicine
31650912,Dr. Megan Bowman,966-715-2906,mbowman@hospital.org,Medical Director,2002-05-17,Internal Medicine
18145413,Dr. Brittany Bennett,547-309-1349,bbennett@hospital.org,Medical Director,1986-02-26,Internal Medicine
34783616,Dr. John Fox,264-993-4734,jfox@hospital.org,Fellow,2020-04-19,Pulmonary Fellow
52914133,Dr. Alex Valdez,204-486-9069,avaldez@hospital.org,Medical Director,1993-09-30,Internal Medicine
19499243,Dr. Rachel Arnold,406-469-2770,rarnold@hospital.org,Resident,2018-07-17,Pediatrics Resident
77959542,Dr. Jessica Macdonald,570-686-7323,jmacdonald@hospital.org,Attending Physician,2010-04-02,Internal Medicine
19852790,Dr. Michael Cruz,,mcruz@hospital.org,Fellow,2017-03-07,Cardiology Fellow
49034436,Dr. Stephanie Gibson,667-323-6773,,Medical Director,1998-10-02,Internal Medicine
7779276,Dr. Rodney Mccarthy,908-924-4878,rmccarthy@hospital.org,Resident,2022-01-05,Surgery Resident
22546960,Dr. Alexandra Sanchez,,,,1987-12-16,General Surgery
69523244,Dr. Isabel Murphy,799-698-4640,imurphy@hospital.org,Attending Physician,2006-12-20,Internal Medicine
85877883,Dr. Sandra Williams,641-399-3150,,Chief of Surgery,1989-09-18,General Surgery
69642346,Dr. Dave Wilson,458-884-6271,dwilson@hospital.org,Chief of Surgery,19-07-1993,General Surgery
95019278,Dr. Christopher Clark,464-997-3530,cclark@hospital.org,Resident,2023-04-27,Pediatrics Resident
34424754,Dr. Jennifer Lee,380-954-6380,jlee@hospital.org,Medical Director,1998-03-07,Internal Medicine
44140427,Dr. Kathleen Wade,,kwade@hospital.org,Chief of Surgery,1994-03-10,General Surgery
11804090,Dr. Edward Webster,518-202-6805,ewebster@hospital.org,Resident,2017-03-24,Internal Medicine Resident
96633105,Dr. Jason Green,850-613-8246,jgreen@hospital.org,,11-08-1992,Internal Medicine
69614420,Dr. Phillip Brock,593-521-7755,pbrock@hospital.org,Attending Physician,2012-07-19,Internal Medicine
78348420,Dr. Jasmine Perez,694-633-9651,jperez@hospital.org,Fellow,06/06/2019,Oncology Fellow
54053498,Dr. Jillian Allen,429-365-1531,jallen@hospital.org,Attending Physician,2013-10-11,Internal Medicine
77720390,Dr. Briana Flores,290-426-6631,bflores@hospital.org,Attending Physician,2010-10-04,Internal Medicine
17073140,Dr. Jessica Brady,387-864-1763,jbrady@hospital.org,Resident,2017-06-25,Surgery Resident
7017246,Dr. Julie Brown,992-785-9486,jbrown@hospital.org,Resident,07-12-2015,Pediatrics Resident
17057075,Dr. Madison Allen,785-733-1385,mallen@hospital.org,Attending Physician,01/07/2007,Internal Medicine
80266752,Dr. Justin Gibson,,,Medical Director,1986-02-15,Internal Medicine
87300139,Dr. Benjamin Rice,356-261-1617,brice@hospital.org,Medical Director,24-02-2001,Internal Medicine
50034331,Dr. Tamara Walker,,twalker@hospital.org,Chief of Surgery,2003-01-30,General Surgery
3303975,Dr. Debra Murphy,382-602-9323,dmurphy@hospital.org,,2000-12-29,General Surgery
4944272,Dr. Brendan Moore,250-567-4676,bmoore@hospital.org,Fellow,2020-06-23,Cardiology Fellow
91356005,Dr. Douglas Bonilla,,,Attending Physician,2011-01-31,Internal Medicine
16121990,Dr. Mark Marks,404-500-9242,mmarks@hospital.org,,1988-07-26,Internal Medicine
86052886,Dr. Kimberly Smith,490-892-6445,ksmith@hospital.org,Attending Physician,2009.11.13,Internal Medicine
22588941,Dr. William Figueroa,768-314-2182,wfigueroa@hospital.org,Attending Physician,2011-09-09,Internal Medicine
33405698,Dr. Jimmy Greene,818-999-5819,jgreene@hospital.org,Chief of Surgery,1985-06-16,General Surgery
48639103,Dr. Brenda Caldwell,474-284-5403,bcaldwell@hospital.org,Fellow,2025-03-06,Oncology Fellow
2512911,Dr. Gabriel Colon,311-354-9199,gcolon@hospital.org,Chief of Surgery,1996-05-07,General Surgery
23025751,Dr. Alyssa Kane,529-582-8815,akane@hospital.org,Attending Physician,2010-10-30,Internal Medicine
43203947,Dr. Joseph Armstrong,211-884-8006,jarmstrong@hospital.org,,2010-05-14,Internal Medicine
69600808,Dr. Belinda Schaefer,999-825-9135,bschaefer@hospital.org,Attending Physician,2008-11-19,Internal Medicine
79193655,Dr. Eric Beard,722-801-8984,ebeard@hospital.org,Chief of Surgery,1992-05-29,General Surgery
67779027,Dr. Rachel Norton,812-964-3590,rnorton@hospital.org,Medical Director,1993-08-04,Internal Medicine
39456535,Dr. Patrick Hall,802-654-1568,phall@hospital.org,Chief of Surgery,1992-08-14,General Surgery
7597679,Dr. Kara Stephens,835-617-6546,kstephens@hospital.org,Chief of Surgery,1988-03-27,General Surgery
28038727,Dr. Susan Brown,252-504-2715,sbrown@hospital.org,Fellow,2021-05-03,Cardiology Fellow
96933468,Dr. Jessica Silva,550-417-5265,jsilva@hospital.org,Medical Director,1988-03-22,Internal Medicine
41518002,Dr. Janice Lane,866-556-5901,jlane@hospital.org,Fellow,"Mar 06, 2022",Pulmonary Fellow
92633686,Dr. Steven Banks,,sbanks@hospital.org,Attending Physician,07/05/2006,Internal Medicine
66550191,Dr. Michael Heath,643-213-1776,,,12-11-2018,Surgery Resident
14811420,Dr. Betty Snyder,813-586-7663,bsnyder@hospital.org,Medical Director,2001-12-30,Internal Medicine
51462801,Dr. Frank Burns,432-579-2816,fburns@hospital.org,Medical Di|rector,1999-09-16,Internal Medicine
35543257,Dr. Adam Thompson,393-842-7435,,Fellow,2023-03-21,Cardiology Fellow
4684693,Dr. Evelyn Watson,883-713-5033,ewatson@hospital.org,Resident,2020-02-08,Pediatrics Resident
79666400,Dr. Kara Scott,,kscott@hospital.org,Attending Physician,2007-08-20,Internal Medicine
48517828,Dr. Alexander Mcclure,535-426-8376,amcclure@hospital.org,Medical Director,2002-09-05,Internal Medicine
31936748,Dr. Arthur Price,450-804-5468,aprice@hospital.org,Chief of Surgery,2003-08-08,General Surgery
71496620,Dr. Chad Moore,633-310-4358,cmoore@hospital.org,Fellow,2018-07-26,Pulmonary Fellow
82145448,Dr. Sarah Lee,244-630-5274,slee@hospital.org,Resident,2020-10-26,Surgery Resident
85526557,Dr. Christopher Lopez,937-619-9853,clopez@hospital.org,Medical Director_@[,2001-07-12,Internal Medicine
66978344,Dr. Jade Brown,,jbrown@hospital.org,Attending Physician,2012-08-22,Internal Medicine
43838938,Dr. Shawn Roman,,sroman@hospital.org,Attending P*&@hysician,2006-03-30,Internal Medicine
74387763,Dr. Robin Kline,639-293-9111,rkline@hospital.org,Chief of Surgery,1991-04-07,General Surgery
89319732,Dr. John Norton,840-816-1121,jnorton@hospital.org,Medical Director,2003-09-19,Internal Medicine
28512351,Dr. Janice Callahan,276-539-8555,jcallahan@hospital.org,Fellow,2017-02-24,Pulmonary Fellow
54583158,Dr. Alisha Bell,299-328-4739,abell@hospital.org,Medical Director,1985-11-18,Internal Medicine
42049760,Dr. Alexander Golden,576-284-3565,agolden@hospital.org,Resident,2023-03-10,Internal Medicine Resident
82103952,Dr. Dan Hunter,772-766-7307,dhunter@hospital.org,Chief of Surgery,1994-03-01,General Surgery
93325893,Dr. Rachel Foster,716-432-4973,rfoster@hospital.org,Chief of Surgery,2005-02-10,General Surgery
75787759,Dr. Joel Burton,,,Attending Physician,2006-04-13,Internal Medicine
23522247,Dr. Michael Wheeler,950-302-5713,mwheeler@hospital.org,Attending Physician,2014-10-02,Internal Medicine
87963953,Dr. Eric Blackburn,906-560-5247,eblackburn@hospital.org,Attending Physician,2006-09-25,Internal Medicine
62902477,Dr. Anna White,453-212-3436,awhite@hospital.org,,1999-11-13,General Surgery
2217578,Dr. Wendy Krueger,812-278-3019,,Chief of Surgery,1990-09-21,General Surgery
82013984,Dr. Rachel Garcia,351-750-3393,rgarcia@hospital.org,Medical Director,1993-11-26,Internal Medicine
92242068,Dr. Joe Hamilton,708-931-6992,,Attending Physician,2007-10-07,Internal Medicine
33729058,Dr. Brenda Bryant,674-532-4193,bbryant@hospital.org,,2003-01-21,General Surgery
64021072,Dr. Brandon Holland,828-511-4496,,Medical Director,1996-03-18,Internal Medicine
90643779,Dr. Emily Holt,,,Resident,2018-09-15,Surgery Resident
37146149,Dr. Reginald Hall,297-690-7153,rhall@hospital.org,Medical Director,1985-09-08,Internal Medicine
30124978,Dr. Andrea Lane,399-749-3447,alane@hospital.org,Medical Director,1995.11.04,Internal Medicine
80153297,Dr. Scott Le,,sle@hospital.org,Chief of Surgery,1999-08-20,General Surgery
91795687,Dr. Deborah Patton,929-700-4714,dpatton@hospital.org,Chief of Surgery,1995-09-21,General Surgery
65178164,Dr. Jeremy Johnson,611-796-8087,jjohnson@hospital.org,Resident,2022-04-15,Pediatrics Resident
86936679,Dr. Albert Williams,233-572-5180,awilliams@hospital.org,Chief of Surgery,1986-03-26,General Surgery
84464736,Dr. Victoria Elliott,797-721-1933,,Fellow,2015-06-01,Cardiology Fellow
25361246,Dr. Jonathan George,760-270-4701,jgeorge@hospital.org,Chief of Surgery,1992-11-25,General Surgery
75462287,Dr. Jose Francis,556-271-9468,jfrancis@hospital.org,Attending Physician,2006-04-01,Internal Medicine
77118734,Dr. Theresa Morales,866-738-5275,tmorales@hospital.org,Chi>*ef of Surgery,1991-02-21,General Surgery
23002680,Dr. Patricia Henderson,491-248-5468,phenderson@hospital.org,`?{Chief of Surgery,2001-04-23,General Surgery
25972725,Dr. Leslie Martin,479-461-6079,lmartin@hospital.org,Medical Direc/tor,11/11/2003,Internal Medicine
20685853,Dr. Marcia Alvarado,377-898-3714,malvarado@hospital.org,Attending Physician,2009-10-29,Internal Medicine
41827111,Dr. Michael Morales,,mmorales@hospital.org,Medical Director,22-06-1996,Internal Medicine
99390957,Dr. Angela Stout,861-797-4639,astout@hospital.org,,2017-09-20,Internal Medicine Resident
73452269,Dr. Suzanne Berg,410-305-5237,,Chief of Surgery,1985-12-21,General Surgery
72632307,Dr. Chad Chase,644-590-6795,cchase@hospital.org,Attending Physician,2009-02-05,Internal Medicine
43773886,Dr. Matthew Kim,825-653-9222,mkim@hospital.org,Chief of Surgery,1996-08-06,General Surgery
86269362,Dr. Maria Stevenson,947-603-7067,mstevenson@hospital.org,*+)Resident,2023-08-05,Surgery Resident
86447834,Dr. Samantha Cohen,383-975-9004,scohen@hospital.org,Medical Director,1993-01-12,Internal Medicine
94537893,Dr. Jaime Lopez,838-243-8426,jlopez@hospital.org,,2013-02-13,Internal Medicine
74036658,Dr. Travis Henderson,894-488-2467,thenderson@hospital.org,Chief of Surgery,1985.08.05,General Surgery
77293221,Dr. Calvin Waters,569-424-3340,cwaters@hospital.org,Resident,2019-12-03,Surgery Resident
15287126,Dr. Gregory Henry,581-670-8742,ghenry@hospital.org,Resident,2024-05-29,Pediatrics Resident
56022668,Dr. Shane Graham,693-605-1375,sgraham@hospital.org,,2005-03-07,Internal Medicine
48217648,Dr. Erin Howell,,ehowell@hospital.org,Attending Physician,2009-12-25,Internal Medicine
63847804,Dr. Tracey Moore,660-508-8571,tmoore@hospital.org,,2001-03-23,General Surgery
59576218,Dr. Brittany Thomas,673-599-4143,bthomas@hospital.org,Resident,2015-08-13,Pediatrics Resident
96311584,Dr. Craig Tate,723-384-9891,ctate@hospital.org,Attending Physician,2013-12-18,Internal Medicine
61710496,Dr. Bryan Robinson,,brobinson@hospital.org,Atten]@>ding Physician,2006-04-14,Internal Medicine
36937497,Dr. Christine Hill,271-976-8368,chill@hospital.org,Medical Director,1993-02-13,Internal Medicine
20516416,Dr. Anthony Collins,376-822-5423,acollins@hospital.org,Resident,2023-06-25,Surgery Resident
73073297,Dr. Madison Hughes,727-341-3796,mhughes@hospital.org,Attending Physician,2011-01-22,Internal Medicine
46906625,Dr. Lawrence Hammond,914-936-1435,lhammond@hospital.org,Attending Physician,2008-07-10,Internal Medicine
71140390,Dr. Tommy Bender,645-269-9650,tbender@hospital.org,Residen_t,2023-07-18,Surgery Resident
30113766,Dr. Eric Thomas,329-746-7311,ethomas@hospital.org,Medical Director,1987-01-20,Internal Medicine
19751181,Dr. Samantha Butler,741-796-9520,sbutler@hospital.org,Medical Director,2005-01-25,Internal Medicine
47395493,Dr. Sara Jones,869-427-9459,sjones@hospital.org,Fellow,2022-06-28,Pulmonary Fellow
89318160,Dr. Keith Mason,707-816-3810,kmason@hospital.org,Chief of Sur?@>gery,1990-06-30,General Surgery
60269357,Dr. Kyle Myers,232-203-5192,kmyers@hospital.org,Resident,2016-01-05,Pediatrics Resident
91813127,Dr. Joanna Alvarez,926-636-7189,jalvarez@hospital.org,Medical Director,2003-11-15,Internal Medicine
54481089,Dr. Vickie Crane,585-342-2886,vcrane@hospital.org,Chief of S$urgery,1999-06-22,General Surgery
21421574,Dr. Sheryl Russell,956-969-9058,srussell@hospital.org,Medical Director,2003-07-16,Internal Medicine
83768781,Dr. Sarah Edwards,785-573-3281,,Chi(_/ef of Surgery,1999-01-06,General Surgery
45304013,Dr. Mark Miller,,mmiller@hospital.org,Chief of Surgery,2000-06-16,General Surgery
33059789,Dr. Lorraine Mendoza,379-583-9188,lmendoza@hospital.org,Chief.># of Surgery,1991-12-21,General Surgery
71738654,Dr. Barbara Williams,311-901-6340,bwilliams@hospital.org,Medical Director,2005-03-23,Internal Medicine
68044606,Dr. Samantha Briggs,876-478-7928,sbriggs@hospital.org,Chief of Surgery,1998-07-20,General Surgery
55958845,Dr. Kendra Thompson,398-883-6270,kthompson@hospital.org,Resident,2023-08-09,Pediatrics Resident
44641982,Dr. Sarah Key,935-871-6747,skey@hospital.org,Resident,2021-08-22,Pediatrics Resident
80731932,Dr. Kristen Salazar,546-988-7038,ksalazar@hospital.org,,1990-02-15,Internal Medicine
42919330,Dr. Deborah Rush,535-989-2367,drush@hospital.org,Attending Physician,2010-02-20,Internal Medicine
58928985,Dr. Alison Russell,711-704-2895,arussell@hospital.org,,1993-07-17,Internal Medicine
61627980,Dr. Arthur Robles,819-548-6289,arobles@hospital.org,Resi)dent,2016-09-08,Pediatrics Resident
87288447,Dr. Lauren Dixon,942-517-5507,,Chief of Surgery,1999-08-29,General Surgery
26795600,Dr. Matthew Davis,947-789-7930,mdavis@hospital.org,,1999-09-01,Internal Medicine
34608568,Dr. Amber Navarro,555-489-7494,,Medical Director,2005-05-08,Internal Medicine
84535571,Dr. Dennis Anthony,300-695-5654,danthony@hospital.org,Attending@@ Physician,2011-01-09,Internal Medicine
36190065,Dr. Caitlin Jones,229-263-3098,cjones@hospital.org,Attending Physician,2008-08-07,Internal Medicine
84437398,Dr. Carlos Hill,260-467-2722,chill@hospital.org,Attending Physician,2008-12-23,Internal Medicine
56786214,Dr. Amy Clark,686-664-7192,aclark@hospital.org,Resident,2015-07-22,Pediatrics Resident
71507944,Dr. Timothy Lawrence,867-686-9181,tlawrence@hospital.org,Attending Physician,2009-09-06,Internal Medicine
78956067,Dr. Christina Miller,581-722-7148,cmiller@hospital.org,Chief of Surgery,2002-03-22,General Surgery
34117017,Dr. Karen Vazquez,794-574-9023,kvazquez@hospital.org,Chief of Surgery,2002-09-10,General Surgery
20548704,Dr. Johnathan Young,,jyoung@hospital.org,Chief of Surgery,1986-08-09,General Surgery
29406369,Dr. Suzanne Clark,304-217-2250,sclark@hospital.org,Medical Director,2004-07-19,Internal Medicine
22295669,Dr. Megan Yang,860-762-4120,myang@hospital.org,Attending Physician,2012-08-11,Internal Medicine
94544827,Dr. John Herman,857-406-7852,jherman@hospital.org,Attending Physician,2009-02-09,Internal Medicine
99967707,Dr. Crystal Gardner,452-405-5545,cgardner@hospital.org,Resident,2019-05-20,Pediatrics Resident
26782914,Dr. Tiffany Jensen,757-682-9021,tjensen@hospital.org,Attending Physician,2008-01-27,Internal Medicine
36779987,Dr. Brandy Bond,435-224-6855,,Medical Director,1989-02-16,Internal Medicine
74708985,Dr. Jimmy Vance,954-763-1063,jvance@hospital.org,Resident,2025-03-05,Internal Medicine Resident
90150858,Dr. Megan Mcdowell,882-764-6019,mmcdowell@hospital.org,Medical Director,1999-01-24,Internal Medicine
69455115,Dr. John Robinson,621-406-4494,jrobinson@hospital.org,,1986-04-17,Internal Medicine
60063114,Dr. Michael Scott,229-918-4926,mscott@hospital.org,Attending Physician,2005-09-24,Internal Medicine
16471931,Dr. Robert Wilson,958-561-7204,rwilson@hospital.org,Medical Director,"Feb 13, 1986",Internal Medicine
35697446,Dr. Anthony Gilmore,404-468-1439,agilmore@hospital.org,Chief of Surgery,1995-03-19,General Surgery
49453122,Dr. Linda Martin,436-545-8579,lmartin@hospital.org,Medical Director,1993-11-05,Internal Medicine
5763642,Dr. Tanya Lopez,737-590-4360,tlopez@hospital.org,Chief of Surgery,1991-11-01,General Surgery
20122780,Dr. Tammy Brady,809-754-8953,,Chief of Surgery,1994-10-14,General Surgery
68900760,Dr. Amber Mayo,736-408-6994,amayo@hospital.org,,2007-01-03,Internal Medicine
50184364,Dr. Brianna Roy,435-558-4232,broy@hospital.org,Medical Director,2001-01-14,Internal Medicine
43954711,Dr. Christian Mitchell,702-497-9224,cmitchell@hospital.org,Medical Director,1987-12-06,Internal Medicine
45626770,Dr. Sandra Peterson,660-984-4459,speterson@hospital.org,Medical Director,1990-08-25,Internal Medicine
70089299,Dr. April Warren,,awarren@hospital.org,Atte=`:nding Physician,2005-07-03,Internal Medicine
79618044,Dr. Lance Horton,686-921-9554,lhorton@hospital.org,Medical Director,2004-09-27,Internal Medicine
32631909,Dr. Scott Decker,316-812-1789,sdecker@hospital.org,Medical Director,2002-01-20,Internal Medicine
49753867,Dr. Kyle Myers,570-513-7395,kmyers@hospital.org,Chief of Surgery,2000-02-23,General Surgery
63354112,Dr. Samuel Wheeler,977-656-5140,swheeler@hospital.org,Attending Physician,09-04-2012,Internal Medicine
90538217,Dr. Robert Harrison,266-578-9654,rharrison@hospital.org,Chief of Surgery,2001-07-18,General Surgery
34362028,Dr. Brian Baker,800-221-4853,bbaker@hospital.org,,1990-12-09,Internal Medicine
29717889,Dr. Lori Mccoy,542-230-1796,lmccoy@hospital.org,Attending Physician,2008-07-27,Internal Medicine
